title,link,group
a-tractable-class-of-abduction-problems,https://www.ijcai.org/Proceedings/93-1/Papers/001.pdf,
an-abductive-framework-for-general-logic-programs-and-other-nonmonotonic-systems,https://www.ijcai.org/Proceedings/93-1/Papers/002.pdf,
critical-reasoning,https://www.ijcai.org/Proceedings/93-1/Papers/003.pdf,
focusing-construction-and-selection-of-abductive-hypotheses,https://www.ijcai.org/Proceedings/93-1/Papers/004.pdf,
a-new-logical-framework-for-deductive-planning,https://www.ijcai.org/Proceedings/93-1/Papers/005.pdf,
semantical-and-computational-aspects-of-horn-approximations,https://www.ijcai.org/Proceedings/93-1/Papers/006.pdf,
a-new-algorithm-for-incremental-prime-implicate-generation,https://www.ijcai.org/Proceedings/93-1/Papers/007.pdf,
automatic-generation-of-some-results-in-finite-algebra,https://www.ijcai.org/Proceedings/93-1/Papers/008.pdf,
extending-the-resolution-method-with-sorts,https://www.ijcai.org/Proceedings/93-1/Papers/009.pdf,
proving-theorems-in-a-multi-source-environment,https://www.ijcai.org/Proceedings/93-1/Papers/010.pdf,
cooperation-between-direct-method-and-translation-method-in-non-classical-logics-some-results-in-prepositional-s5,https://www.ijcai.org/Proceedings/93-1/Papers/011.pdf,
first-order-modal-logic-theorem-proving-and-functional-simulation,https://www.ijcai.org/Proceedings/93-1/Papers/012.pdf,
automatic-case-analysis-in-proof-by-induction,https://www.ijcai.org/Proceedings/93-1/Papers/013.pdf,
combining-induction-axioms-by-machine,https://www.ijcai.org/Proceedings/93-1/Papers/014.pdf,
bottom-up-abduction-by-model-generation,https://www.ijcai.org/Proceedings/93-1/Papers/015.pdf,
scott-a-model-guided-theorem-prover,https://www.ijcai.org/Proceedings/93-1/Papers/016.pdf,
difference-unification,https://www.ijcai.org/Proceedings/93-1/Papers/017.pdf,
on-the-polynomial-transparency-of-resolution,https://www.ijcai.org/Proceedings/93-1/Papers/018.pdf,
a-note-on-backward-dual-resolution-and-its-application-to-proving-completeness-of-rule-based-systems,https://www.ijcai.org/Proceedings/93-1/Papers/019.pdf,
exploiting-irrelevance-reasoning-to-guide-problem-solving,https://www.ijcai.org/Proceedings/93-1/Papers/020.pdf,
automated-trend-detection-with-alternate-temporal-hypotheses,https://www.ijcai.org/Proceedings/93-1/Papers/021.pdf,
exploiting-domain-structure-to-achieve-efficient-temporal-reasoning,https://www.ijcai.org/Proceedings/93-1/Papers/022.pdf,
explanation-in-the-situation-calculus,https://www.ijcai.org/Proceedings/93-1/Papers/023.pdf,
situation-recognition-representation-and-algorithms,https://www.ijcai.org/Proceedings/93-1/Papers/024.pdf,
antlima-a-listener-model-with-mental-images,https://www.ijcai.org/Proceedings/93-1/Papers/025.pdf,cognitive-modeling
perception-and-experience-in-problem-solving,https://www.ijcai.org/Proceedings/93-1/Papers/026.pdf,cognitive-modeling
ai-models-as-a-variety-of-psychological-explanation,https://www.ijcai.org/Proceedings/93-1/Papers/027.pdf,cognitive-modeling
using-the-affective-reasoner-to-support-social-simulations,https://www.ijcai.org/Proceedings/93-1/Papers/028.pdf,cognitive-modeling
a-computational-model-of-tractable-reasoningi-1-2-taking-inspiration-from-cognition,https://www.ijcai.org/Proceedings/93-1/Papers/029.pdf,cognitive-modeling
dynamic-memories-analysis-of-an-integrated-comprehension-and-episodic-memory-retrieval-model,https://www.ijcai.org/Proceedings/93-1/Papers/030.pdf,cognitive-modeling
bidirectional-best-first-search-with-bounded-error-summary-of-results,https://www.ijcai.org/Proceedings/93-1/Papers/031.pdf,constraint-satisfaction-problems
when-functional-and-bijective-constraints-make-a-csp-polynomial,https://www.ijcai.org/Proceedings/93-1/Papers/032.pdf,constraint-satisfaction-problems
consistency-techniques-for-numeric-csps,https://www.ijcai.org/Proceedings/93-1/Papers/033.pdf,constraint-satisfaction-problems
why-ac-3-is-almost-always-better-than-ac-4-for-establishing-arc-consistency-in-csps,https://www.ijcai.org/Proceedings/93-1/Papers/034.pdf,constraint-satisfaction-problems
complete-solution-of-the-eight-puzzle-and-the-benefit-of-node-ordering-in-ida,https://www.ijcai.org/Proceedings/93-1/Papers/035.pdf,constraint-satisfaction-problems
using-inferred-disjunctive-constraints-to-decompose-constraint-satisfaction-problems,https://www.ijcai.org/Proceedings/93-1/Papers/036.pdf,constraint-satisfaction-problems
domain-filtering-can-degrade-intelligent-backtracking-search,https://www.ijcai.org/Proceedings/93-1/Papers/037.pdf,constraint-satisfaction-problems
optimistic-parallel-discrete-relaxation,https://www.ijcai.org/Proceedings/93-1/Papers/038.pdf,constraint-satisfaction-problems
diagnosing-and-solving-over-determined-constraint-satisfaction-problems,https://www.ijcai.org/Proceedings/93-1/Papers/039.pdf,constraint-satisfaction-problems
exploiting-interchangeabilities-in-constraint-satisfaction-problems,https://www.ijcai.org/Proceedings/93-1/Papers/040.pdf,constraint-satisfaction-problems
domain-independent-extensions-to-gsat-solving-large-structured-satisfiability-problems,https://www.ijcai.org/Proceedings/93-1/Papers/041.pdf,constraint-satisfaction-problems
satisfiability-of-boolean-formulas-over-linear-constraints,https://www.ijcai.org/Proceedings/93-1/Papers/042.pdf,constraint-satisfaction-problems
henri-be-ringer-and-bruno-de-backer,https://www.ijcai.org/Proceedings/93-1/Papers/043.pdf,constraint-satisfaction-problems
agents-habitats-and-routine-behavior,https://www.ijcai.org/Proceedings/93-1/Papers/043A.pdf,distributed-ai
learning-to-coordinate-actions-in-multi-agent-systems,https://www.ijcai.org/Proceedings/93-1/Papers/044.pdf,distributed-ai
a-model-theoretic-approach-to-the-verification-of-situated-reasoning-systems,https://www.ijcai.org/Proceedings/93-1/Papers/045.pdf,distributed-ai
liveness-and-fairness-properties-in-multi-agent-systems,https://www.ijcai.org/Proceedings/93-1/Papers/046.pdf,distributed-ai
enhancing-performance-of-cooperating-agents-in-real-time-diagnostic-systems,https://www.ijcai.org/Proceedings/93-1/Papers/047.pdf,distributed-ai
provably-bounded-optimal-agents,https://www.ijcai.org/Proceedings/93-1/Papers/048.pdf,distributed-ai
a-collaboration-mechanism-on-positive-interactions-in-multi-agent-environments,https://www.ijcai.org/Proceedings/93-1/Papers/049.pdf,distributed-ai
a-scheme-for-agent-collaboration-in-open-multiagent-environments,https://www.ijcai.org/Proceedings/93-1/Papers/050.pdf,distributed-ai
an-approach-to-analyzing-the-need-for-meta-level-communication,https://www.ijcai.org/Proceedings/93-1/Papers/051.pdf,distributed-ai
collaborative-plans-for-group-activities,https://www.ijcai.org/Proceedings/93-1/Papers/052.pdf,distributed-ai
all-they-know-a-study-in-multi-agent-autoepistemic-reasoning,https://www.ijcai.org/Proceedings/93-1/Papers/053.pdf,distributed-ai
epistemic-extension-of-propositional-preference-logics,https://www.ijcai.org/Proceedings/93-1/Papers/054.pdf,distributed-ai
a-representationalist-theory-of-intention,https://www.ijcai.org/Proceedings/93-1/Papers/055.pdf,distributed-ai
elements-of-a-utilitarian-theory-of-knowledge-and-action,https://www.ijcai.org/Proceedings/93-1/Papers/056.pdf,distributed-ai
ozi-1-2a-programming-language-for-multi-agent-systems,https://www.ijcai.org/Proceedings/93-1/Papers/057.pdf,distributed-ai
wi-1-2a-logic-system-based-on-the-shared-common-knowledge-views,https://www.ijcai.org/Proceedings/93-1/Papers/058.pdf,distributed-ai
a-domain-theory-for-task-oriented-negotiation,https://www.ijcai.org/Proceedings/93-1/Papers/059.pdf,distributed-ai
multi-agent-planning-as-a-dynamic-search-for-social-consensus,https://www.ijcai.org/Proceedings/93-1/Papers/060.pdf,distributed-ai
are-many-reactive-agents-better-than-a-few-deliberative-ones,https://www.ijcai.org/Proceedings/93-1/Papers/061.pdf,distributed-ai
understanding-the-role-of-negotiation-in-distributed-search-among-heterogeneous-agents,https://www.ijcai.org/Proceedings/93-1/Papers/062.pdf,distributed-ai
classification-networks-a-knowledge-representation-scheme-for-curriculum-prescription,https://www.ijcai.org/Proceedings/93-1/Papers/063.pdf,intelligent-tutoring-systems
constraint-based-automatic-construction-and-manipulation-of-geometric-figures,https://www.ijcai.org/Proceedings/93-1/Papers/064.pdf,intelligent-tutoring-systems
phii-1-2a-logic-based-tool-for-intelligent-help-systems,https://www.ijcai.org/Proceedings/93-1/Papers/065.pdf,intelligent-tutoring-systems
nonmonotonic-model-inferencei-1-2a-formalization-of-student-modeling,https://www.ijcai.org/Proceedings/93-1/Papers/066.pdf,intelligent-tutoring-systems
expert-system-validation-through-knowledge-base-refinement,https://www.ijcai.org/Proceedings/93-1/Papers/067.pdf,knowledge-base-technology
test-case-generation-using-kbs-strategy,https://www.ijcai.org/Proceedings/93-1/Papers/068.pdf,knowledge-base-technology
off-line-reasoning-for-on-line-efficiency,https://www.ijcai.org/Proceedings/93-1/Papers/069.pdf,knowledge-base-technology
tree-the-heuristic-driven-join-strategy-of-a-rete-like-matcher,https://www.ijcai.org/Proceedings/93-1/Papers/070.pdf,knowledge-base-technology
a-class-library-implementation-of-a-principled-open-architecture-knowledge-representation-server-with-plug-in-data-types,https://www.ijcai.org/Proceedings/93-1/Papers/071.pdf,knowledge-base-technology
specification-and-generation-of-custom-tailored-knowledge-acquisition-tools,https://www.ijcai.org/Proceedings/93-1/Papers/072.pdf,knowledge-base-technology
revision-sequences-and-nested-conditionals,https://www.ijcai.org/Proceedings/93-1/Papers/073.pdf,knowledge-representation
the-complexity-of-nested-counterfactuals-and-iterated-knowledge-base-revisions,https://www.ijcai.org/Proceedings/93-1/Papers/074.pdf,knowledge-representation
connections-between-the-atms-and-agm-belief-revision,https://www.ijcai.org/Proceedings/93-1/Papers/075.pdf,knowledge-representation
syntactic-characterizations-of-belief-change-operators,https://www.ijcai.org/Proceedings/93-1/Papers/076.pdf,knowledge-representation
non-omniscient-belief-as-context-based-reasoning,https://www.ijcai.org/Proceedings/93-1/Papers/077.pdf,knowledge-representation
notes-on-formalizing-context,https://www.ijcai.org/Proceedings/93-1/Papers/078.pdf,knowledge-representation
statistical-foundations-for-default-reasoning,https://www.ijcai.org/Proceedings/93-1/Papers/079.pdf,knowledge-representation
the-power-of-beliefs-or-translating-default-logic-into-standard-autoepistemic-logic,https://www.ijcai.org/Proceedings/93-1/Papers/080.pdf,knowledge-representation
on-the-semantics-of-supernormal-defaults,https://www.ijcai.org/Proceedings/93-1/Papers/081.pdf,knowledge-representation
preference-based-semantics-for-nonmonotonic-logics,https://www.ijcai.org/Proceedings/93-1/Papers/082.pdf,knowledge-representation
generalization-of-the-dempster-shafer-theory,https://www.ijcai.org/Proceedings/93-1/Papers/083.pdf,knowledge-representation
quantifying-beliefs-by-belief-functions-an-axiomatic-justification,https://www.ijcai.org/Proceedings/93-1/Papers/084.pdf,knowledge-representation
average-case-analysis-of-a-search-algorithm-for-estimating-prior-and-posterior-probabilities-in-bayesian-networks-with-extreme-probabilities,https://www.ijcai.org/Proceedings/93-1/Papers/085.pdf,knowledge-representation
on-the-hardness-of-approximate-reasoning-dan-roth,https://www.ijcai.org/Proceedings/93-1/Papers/086.pdf,knowledge-representation
belief-revision-and-updates-in-numerical-formalismsi-1-2-an-overview-with-new-results-for-the-possibilistic-framework,https://www.ijcai.org/Proceedings/93-1/Papers/087.pdf,knowledge-representation
second-order-measures-for-uncertainty-processing,https://www.ijcai.org/Proceedings/93-1/Papers/088.pdf,knowledge-representation
curb-your-theory-a-circumscriptive-approach-for-inclusive-interpretation-of-disjunctive-information,https://www.ijcai.org/Proceedings/93-1/Papers/089.pdf,knowledge-representation
inconsistency-management-and-prioritized-syntax-based-entailment,https://www.ijcai.org/Proceedings/93-1/Papers/090.pdf,knowledge-representation
efficient-temporal-reasoning-through-timegraphs,https://www.ijcai.org/Proceedings/93-1/Papers/091.pdf,knowledge-representation
path-consistency-in-a-network-of-non-convex-intervals,https://www.ijcai.org/Proceedings/93-1/Papers/092.pdf,knowledge-representation
a-terminological-logic-with-defaults-a-definition-and-an-application,https://www.ijcai.org/Proceedings/93-1/Papers/093.pdf,knowledge-representation
how-to-prefer-more-specific-defaults-in-terminological-default-logic,https://www.ijcai.org/Proceedings/93-1/Papers/094.pdf,knowledge-representation
default-inheritance-reasoning-in-hybrid-kl-one-style-logics,https://www.ijcai.org/Proceedings/93-1/Papers/095.pdf,knowledge-representation
more-notes-on-a-clash-of-intuitions,https://www.ijcai.org/Proceedings/93-1/Papers/096.pdf,knowledge-representation
a-multi-dimensional-terminological-knowledge-representation-language,https://www.ijcai.org/Proceedings/93-1/Papers/097.pdf,knowledge-representation
using-classification-as-a-programming-language,https://www.ijcai.org/Proceedings/93-1/Papers/098.pdf,knowledge-representation
decidable-reasoning-in-terminological-knowledge-representation-systems,https://www.ijcai.org/Proceedings/93-1/Papers/099.pdf,knowledge-representation
the-equivalence-of-model-theoretic-and-structural-subsumption-in-description-logics,https://www.ijcai.org/Proceedings/93-1/Papers/100.pdf,knowledge-representation
reasoning-about-persistence-a-theory-of-actions,https://www.ijcai.org/Proceedings/93-1/Papers/101.pdf,knowledge-representation
soundness-and-completeness-theorems-for-three-formalizations-of-action,https://www.ijcai.org/Proceedings/93-1/Papers/102.pdf,knowledge-representation
deriving-properties-of-belief-update-from-theories-of-action-ii,https://www.ijcai.org/Proceedings/93-1/Papers/103.pdf,knowledge-representation
the-range-of-applicability-of-nonmonotonic-logics-for-the-inertia-problem,https://www.ijcai.org/Proceedings/93-1/Papers/104.pdf,knowledge-representation
ai-adventures-worth-writing-home-about,https://www.ijcai.org/Proceedings/93-1/Papers/105.pdf,knowledge-representation
social-knowledge-and-social-action-heterogeneity-in-practice,https://www.ijcai.org/Proceedings/93-1/Papers/106.pdf,knowledge-representation
artificial-thought-and-emergent-mind,https://www.ijcai.org/Proceedings/93-1/Papers/107.pdf,knowledge-representation
vision-based-robot-behavior-tools-and-testbeds-for-real-world-ai-research,https://www.ijcai.org/Proceedings/93-1/Papers/108.pdf,knowledge-representation
the-intelligent-hand-an-experimental-approach-to-human-object-recognition-and-implications-for-robotic-design,https://www.ijcai.org/Proceedings/93-1/Papers/109.pdf,knowledge-representation
toward-flexible-intelligence-miti-s-new-program-of-real-world-computing,https://www.ijcai.org/Proceedings/93-1/Papers/110.pdf,knowledge-representation
consenting-agents-negotiation-mechanisms-for-multi-agent-systems,https://www.ijcai.org/Proceedings/93-1/Papers/111.pdf,knowledge-representation
conceptual-design-and-artificial-intelligence,https://www.ijcai.org/Proceedings/93-1/Papers/112.pdf,knowledge-representation
the-logic-of-cognitive-action,https://www.ijcai.org/Proceedings/93-1/Papers/113.pdf,knowledge-representation
computers-and-thought-award-challenges-of-massive-parallelism,https://www.ijcai.org/Proceedings/93-1/Papers/114.pdf,awards
index,https://www.ijcai.org/Proceedings/93-1/Papers/115.pdf,awards
a-language-for-implementing-arbitrary-logics,https://www.ijcai.org/Proceedings/93-2/Papers/001.pdf,logic-programming
conditional-causal-logic-a-formal-theory-of-the-meaning-generating-processes-in-a-cognitive-system,https://www.ijcai.org/Proceedings/93-2/Papers/002.pdf,logic-programming
on-the-acceptability-of-arguments-and-its-fundamental-role-in-nonmonotonic-reasoning-and-logic-programming,https://www.ijcai.org/Proceedings/93-2/Papers/003.pdf,logic-programming
a-metalogic-programming-approach-to-reasoning-about-time-in-knowledge-bases,https://www.ijcai.org/Proceedings/93-2/Papers/004.pdf,logic-programming
representing-concurrent-actions-in-extended-logic-programming,https://www.ijcai.org/Proceedings/93-2/Papers/005.pdf,logic-programming
a-parameterised-module-system-for-constructing-typed-logic-programs,https://www.ijcai.org/Proceedings/93-2/Papers/006.pdf,logic-programming
logical-specification-of-real-time-granular-systems-in-an-object-oriented-language,https://www.ijcai.org/Proceedings/93-2/Papers/007.pdf,logic-programming
average-case-analysis-of-a-nearest-neighbor-algorithm,https://www.ijcai.org/Proceedings/93-2/Papers/008.pdf,machine-learning
estimating-the-accuracy-of-learned-concepts,https://www.ijcai.org/Proceedings/93-2/Papers/009.pdf,machine-learning
case-baaed-reasoning-case-retrieval-through-multiple-indexing-and-heuristic-search,https://www.ijcai.org/Proceedings/93-2/Papers/010.pdf,machine-learning
retrieving-cases-from-relational-data-bases-another-stride-towards-corporate-wide-case-base-systems,https://www.ijcai.org/Proceedings/93-2/Papers/011.pdf,machine-learning
abstraction-via-approximate-symmetry,https://www.ijcai.org/Proceedings/93-2/Papers/012.pdf,machine-learning
an-analytic-learning-system-for-specializing-heuristics,https://www.ijcai.org/Proceedings/93-2/Papers/013.pdf,machine-learning
integrating-inductive-neural-network-learning-and-explanation-based-learning,https://www.ijcai.org/Proceedings/93-2/Papers/014.pdf,machine-learning
