title,main link,supplemental link
an-application-of-reinforcement-learning-to-aerobatic-helicopter-flight,http://papers.nips.cc/paper/3151-an-application-of-reinforcement-learning-to-aerobatic-helicopter-flight.pdf,
tighter-pac-bayes-bounds,http://papers.nips.cc/paper/3058-tighter-pac-bayes-bounds.pdf,
online-classification-for-complex-problems-using-simultaneous-projections,http://papers.nips.cc/paper/2984-online-classification-for-complex-problems-using-simultaneous-projections.pdf,
learning-on-graph-with-laplacian-regularization,http://papers.nips.cc/paper/3148-learning-on-graph-with-laplacian-regularization.pdf,
sparse-kernel-orthonormalized-pls-for-feature-extraction-in-large-data-sets,http://papers.nips.cc/paper/2970-sparse-kernel-orthonormalized-pls-for-feature-extraction-in-large-data-sets.pdf,
multi-task-feature-learning,http://papers.nips.cc/paper/3143-multi-task-feature-learning.pdf,
logarithmic-online-regret-bounds-for-undiscounted-reinforcement-learning,http://papers.nips.cc/paper/3052-logarithmic-online-regret-bounds-for-undiscounted-reinforcement-learning.pdf,
efficient-methods-for-privacy-preserving-face-detection,http://papers.nips.cc/paper/3081-efficient-methods-for-privacy-preserving-face-detection.pdf,
active-learning-for-misspecified-generalized-linear-models,http://papers.nips.cc/paper/2961-active-learning-for-misspecified-generalized-linear-models.pdf,
subordinate-class-recognition-using-relational-object-models,http://papers.nips.cc/paper/3131-subordinate-class-recognition-using-relational-object-models.pdf,
unified-inference-for-variational-bayesian-linear-gaussian-state-space-models,http://papers.nips.cc/paper/3023-unified-inference-for-variational-bayesian-linear-gaussian-state-space-models.pdf,
a-novel-gaussian-sum-smoother-for-approximate-inference-in-switching-linear-dynamical-systems,http://papers.nips.cc/paper/3027-a-novel-gaussian-sum-smoother-for-approximate-inference-in-switching-linear-dynamical-systems.pdf,
sample-complexity-of-policy-search-with-known-dynamics,http://papers.nips.cc/paper/2990-sample-complexity-of-policy-search-with-known-dynamics.pdf,
adaboost-is-consistent,http://papers.nips.cc/paper/2963-adaboost-is-consistent.pdf,
a-selective-attention-multi-chip-system-with-dynamic-synapses-and-spiking-neurons,http://papers.nips.cc/paper/3028-a-selective-attention-multi-chip-system-with-dynamic-synapses-and-spiking-neurons.pdf,
temporal-and-cross-subject-probabilistic-models-for-fmri-prediction-tasks,http://papers.nips.cc/paper/3105-temporal-and-cross-subject-probabilistic-models-for-fmri-prediction-tasks.pdf,
convergence-of-laplacian-eigenmaps,http://papers.nips.cc/paper/2989-convergence-of-laplacian-eigenmaps.pdf,
analysis-of-representations-for-domain-adaptation,http://papers.nips.cc/paper/2983-analysis-of-representations-for-domain-adaptation.pdf,
an-approach-to-bounded-rationality,http://papers.nips.cc/paper/3142-an-approach-to-bounded-rationality.pdf,
greedy-layer-wise-training-of-deep-networks,http://papers.nips.cc/paper/3048-greedy-layer-wise-training-of-deep-networks.pdf,
dirichlet-enhanced-spam-filtering-based-on-biased-samples,http://papers.nips.cc/paper/3158-dirichlet-enhanced-spam-filtering-based-on-biased-samples.pdf,
detecting-humans-via-their-pose,http://papers.nips.cc/paper/3063-detecting-humans-via-their-pose.pdf,
similarity-by-composition,http://papers.nips.cc/paper/3127-similarity-by-composition.pdf,
denoising-and-dimension-reduction-in-feature-space,http://papers.nips.cc/paper/3067-denoising-and-dimension-reduction-in-feature-space.pdf,
learning-to-rank-with-nonsmooth-cost-functions,http://papers.nips.cc/paper/2971-learning-to-rank-with-nonsmooth-cost-functions.pdf,
conditional-mean-field,http://papers.nips.cc/paper/3118-conditional-mean-field.pdf,
sparse-multinomial-logistic-regression-via-bayesian-l1-regularisation,http://papers.nips.cc/paper/3155-sparse-multinomial-logistic-regression-via-bayesian-l1-regularisation.pdf,
branch-and-bound-for-semi-supervised-support-vector-machines,http://papers.nips.cc/paper/3135-branch-and-bound-for-semi-supervised-support-vector-machines.pdf,
automated-hierarchy-discovery-for-planning-in-partially-observable-environments,http://papers.nips.cc/paper/2968-automated-hierarchy-discovery-for-planning-in-partially-observable-environments.pdf,
max-margin-classification-of-incomplete-data,http://papers.nips.cc/paper/3024-max-margin-classification-of-incomplete-data.pdf,
modeling-general-and-specific-aspects-of-documents-with-a-probabilistic-topic-model,http://papers.nips.cc/paper/2994-modeling-general-and-specific-aspects-of-documents-with-a-probabilistic-topic-model.pdf,
implicit-online-learning-with-kernels,http://papers.nips.cc/paper/3038-implicit-online-learning-with-kernels.pdf,
context-dependent-amplification-of-both-rate-and-event-correlation-in-a-vlsi-network-of-spiking-neurons,http://papers.nips.cc/paper/2986-context-dependent-amplification-of-both-rate-and-event-correlation-in-a-vlsi-network-of-spiking-neurons.pdf,
bayesian-ensemble-learning,http://papers.nips.cc/paper/3084-bayesian-ensemble-learning.pdf,
implicit-surfaces-with-globally-regularised-and-compactly-supported-basis-functions,http://papers.nips.cc/paper/3034-implicit-surfaces-with-globally-regularised-and-compactly-supported-basis-functions.pdf,
map-reduce-for-machine-learning-on-multicore,http://papers.nips.cc/paper/3150-map-reduce-for-machine-learning-on-multicore.pdf,
relational-learning-with-gaussian-processes,http://papers.nips.cc/paper/3108-relational-learning-with-gaussian-processes.pdf,
recursive-attribute-factoring,http://papers.nips.cc/paper/2969-recursive-attribute-factoring.pdf,
