title,link,group
1-schedule,https://www.ijcai.org/Proceedings/79-1/Papers/001.pdf,introduction
2-foreword,https://www.ijcai.org/Proceedings/79-1/Papers/002.pdf,introduction
3-referees,https://www.ijcai.org/Proceedings/79-1/Papers/003.pdf,introduction
1-alphabetical-by-first-author-a-m,https://www.ijcai.org/Proceedings/79-1/Papers/004.pdf,technical-papers
1-author-co-author-index,https://www.ijcai.org/Proceedings/79-1/Papers/005.pdf,index
2-topic-index-for-technical-papers,https://www.ijcai.org/Proceedings/79-1/Papers/006.pdf,index
alphabetical-by-first-author-n-z,https://www.ijcai.org/Proceedings/79-2/Papers/001.pdf,technical-papers
invited-talks,https://www.ijcai.org/Proceedings/79-2/Papers/002.pdf,technical-papers
invited-panels,https://www.ijcai.org/Proceedings/79-2/Papers/003.pdf,technical-papers
computers-thought-lecture,https://www.ijcai.org/Proceedings/79-2/Papers/004.pdf,technical-papers
ijcai-distinguished-service-award-lecture,https://www.ijcai.org/Proceedings/79-2/Papers/005.pdf,technical-papers
supplement,https://www.ijcai.org/Proceedings/79-2/Papers/006.pdf,technical-papers
