title,main link,supplemental link
modeling-temporal-structure-in-classical-conditioning,http://papers.nips.cc/paper/2026-modeling-temporal-structure-in-classical-conditioning.pdf,
motivated-reinforcement-learning,http://papers.nips.cc/paper/2048-motivated-reinforcement-learning.pdf,
probabilistic-principles-in-unsupervised-learning-of-visual-structure-human-data-and-a-model,http://papers.nips.cc/paper/2119-probabilistic-principles-in-unsupervised-learning-of-visual-structure-human-data-and-a-model.pdf,
fragment-completion-in-humans-and-machines,http://papers.nips.cc/paper/2081-fragment-completion-in-humans-and-machines.pdf,
natural-language-grammar-induction-using-a-constituent-context-model,http://papers.nips.cc/paper/1945-natural-language-grammar-induction-using-a-constituent-context-model.pdf,
the-emergence-of-multiple-movement-units-in-the-presence-of-noise-and-feedback-delay,http://papers.nips.cc/paper/2080-the-emergence-of-multiple-movement-units-in-the-presence-of-noise-and-feedback-delay.pdf,
a-rational-analysis-of-cognitive-control-in-a-speeded-discrimination-task,http://papers.nips.cc/paper/1989-a-rational-analysis-of-cognitive-control-in-a-speeded-discrimination-task.pdf,
a-bayesian-model-predicts-human-parse-preference-and-reading-times-in-sentence-processing,http://papers.nips.cc/paper/2130-a-bayesian-model-predicts-human-parse-preference-and-reading-times-in-sentence-processing.pdf,
grammar-transfer-in-a-second-order-recurrent-neural-network,http://papers.nips.cc/paper/1971-grammar-transfer-in-a-second-order-recurrent-neural-network.pdf,
generalizable-relational-binding-from-coarse-coded-distributed-representations,http://papers.nips.cc/paper/1942-generalizable-relational-binding-from-coarse-coded-distributed-representations.pdf,
a-model-of-the-phonological-loop-generalization-and-binding,http://papers.nips.cc/paper/2025-a-model-of-the-phonological-loop-generalization-and-binding.pdf,
grammatical-bigrams,http://papers.nips.cc/paper/2041-grammatical-bigrams.pdf,
causal-categorization-with-bayes-nets,http://papers.nips.cc/paper/1993-causal-categorization-with-bayes-nets.pdf,
constructing-distributed-representations-using-additive-clustering,http://papers.nips.cc/paper/2077-constructing-distributed-representations-using-additive-clustering.pdf,
reinforcement-learning-and-time-perception-a-model-of-animal-experiments,http://papers.nips.cc/paper/2000-reinforcement-learning-and-time-perception-a-model-of-animal-experiments.pdf,
a-quantitative-model-of-counterfactual-reasoning,http://papers.nips.cc/paper/1943-a-quantitative-model-of-counterfactual-reasoning.pdf,
bayesian-morphometry-of-hippocampal-cells-suggests-same-cell-somatodendritic-repulsion,http://papers.nips.cc/paper/2088-bayesian-morphometry-of-hippocampal-cells-suggests-same-cell-somatodendritic-repulsion.pdf,
modularity-in-the-motor-system-decomposition-of-muscle-patterns-as-combinations-of-time-varying-synergies,http://papers.nips.cc/paper/1974-modularity-in-the-motor-system-decomposition-of-muscle-patterns-as-combinations-of-time-varying-synergies.pdf,
receptive-field-structure-of-flow-detectors-for-heading-perception,http://papers.nips.cc/paper/2034-receptive-field-structure-of-flow-detectors-for-heading-perception.pdf,
classifying-single-trial-eeg-towards-brain-computer-interfacing,http://papers.nips.cc/paper/2030-classifying-single-trial-eeg-towards-brain-computer-interfacing.pdf,
orientational-and-geometric-determinants-of-place-and-head-direction,http://papers.nips.cc/paper/2011-orientational-and-geometric-determinants-of-place-and-head-direction.pdf,
group-redundancy-measures-reveal-redundancy-reduction-in-the-auditory-pathway,http://papers.nips.cc/paper/2021-group-redundancy-measures-reveal-redundancy-reduction-in-the-auditory-pathway.pdf,
a-maximum-likelihood-approach-to-modeling-multisensory-enhancement,http://papers.nips.cc/paper/1982-a-maximum-likelihood-approach-to-modeling-multisensory-enhancement.pdf,
ach-uncertainty-and-cortical-inference,http://papers.nips.cc/paper/2103-ach-uncertainty-and-cortical-inference.pdf,
linking-motor-learning-to-function-approximation-learning-in-an-unlearnable-force-field,http://papers.nips.cc/paper/1966-linking-motor-learning-to-function-approximation-learning-in-an-unlearnable-force-field.pdf,
exact-differential-equation-population-dynamics-for-integrate-and-fire-neurons,http://papers.nips.cc/paper/2076-exact-differential-equation-population-dynamics-for-integrate-and-fire-neurons.pdf,
probabilistic-inference-of-hand-motion-from-neural-activity-in-motor-cortex,http://papers.nips.cc/paper/1997-probabilistic-inference-of-hand-motion-from-neural-activity-in-motor-cortex.pdf,
a-theory-of-neural-integration-in-the-head-direction-system,http://papers.nips.cc/paper/2099-a-theory-of-neural-integration-in-the-head-direction-system.pdf,
3-state-neurons-for-contextual-processing,http://papers.nips.cc/paper/2115-3-state-neurons-for-contextual-processing.pdf,
associative-memory-in-realistic-neuronal-networks,http://papers.nips.cc/paper/2056-associative-memory-in-realistic-neuronal-networks.pdf,
self-regulation-mechanism-of-temporally-asymmetric-hebbian-plasticity,http://papers.nips.cc/paper/1972-self-regulation-mechanism-of-temporally-asymmetric-hebbian-plasticity.pdf,
information-geometric-decomposition-in-spike-analysis,http://papers.nips.cc/paper/2006-information-geometric-decomposition-in-spike-analysis.pdf,
eye-movements-and-the-maturation-of-cortical-orientation-selectivity,http://papers.nips.cc/paper/1994-eye-movements-and-the-maturation-of-cortical-orientation-selectivity.pdf,
characterizing-neural-gain-control-using-spike-triggered-covariance,http://papers.nips.cc/paper/1975-characterizing-neural-gain-control-using-spike-triggered-covariance.pdf,
correlation-codes-in-neuronal-populations,http://papers.nips.cc/paper/2031-correlation-codes-in-neuronal-populations.pdf,
why-neuronal-dynamics-should-control-synaptic-learning-rules,http://papers.nips.cc/paper/1957-why-neuronal-dynamics-should-control-synaptic-learning-rules.pdf,
effective-size-of-receptive-fields-of-inferior-temporal-visual-cortex-neurons-in-natural-scenes,http://papers.nips.cc/paper/2117-effective-size-of-receptive-fields-of-inferior-temporal-visual-cortex-neurons-in-natural-scenes.pdf,
activity-driven-adaptive-stochastic-resonance,http://papers.nips.cc/paper/2112-activity-driven-adaptive-stochastic-resonance.pdf,
spike-timing-and-the-coding-of-naturalistic-sounds-in-a-central-auditory-area-of-songbirds,http://papers.nips.cc/paper/2038-spike-timing-and-the-coding-of-naturalistic-sounds-in-a-central-auditory-area-of-songbirds.pdf,
neural-implementation-of-bayesian-inference-in-population-codes,http://papers.nips.cc/paper/1988-neural-implementation-of-bayesian-inference-in-population-codes.pdf,
generating-velocity-tuning-by-asymmetric-recurrent-connections,http://papers.nips.cc/paper/1995-generating-velocity-tuning-by-asymmetric-recurrent-connections.pdf,
sampling-techniques-for-kernel-methods,http://papers.nips.cc/paper/2072-sampling-techniques-for-kernel-methods.pdf,
geometrical-singularities-in-the-neuromanifold-of-multilayer-perceptrons,http://papers.nips.cc/paper/2015-geometrical-singularities-in-the-neuromanifold-of-multilayer-perceptrons.pdf,
the-noisy-euclidean-traveling-salesman-problem-and-learning,http://papers.nips.cc/paper/2049-the-noisy-euclidean-traveling-salesman-problem-and-learning.pdf,
on-the-generalization-ability-of-on-line-learning-algorithms,http://papers.nips.cc/paper/2113-on-the-generalization-ability-of-on-line-learning-algorithms.pdf,
on-kernel-target-alignment,http://papers.nips.cc/paper/1946-on-kernel-target-alignment.pdf,
pac-generalization-bounds-for-co-training,http://papers.nips.cc/paper/2040-pac-generalization-bounds-for-co-training.pdf,
