title,link,group
additive-and-or-graphs,https://www.ijcai.org/Proceedings/73/Papers/001.pdf,theory-of-heuristic-search
the-avoidance-of-relative-catastrophe-heuristic-competence-genuine-dynamic-weighting-and-computational-issues-in-heuristic-problem-solving,https://www.ijcai.org/Proceedings/73/Papers/002.pdf,theory-of-heuristic-search
some-theoretical-results-concerning-automated-game-playing,https://www.ijcai.org/Proceedings/73/Papers/003.pdf,theory-of-heuristic-search
the-bandwidth-heuristic-search,https://www.ijcai.org/Proceedings/73/Papers/004.pdf,theory-of-heuristic-search
the-q-algorithm-a-search-strategy-for-a-deductive-question-answering-system,https://www.ijcai.org/Proceedings/73/Papers/005.pdf,theorem-proving-and-logic-i
a-semantically-guided-deductive-system-for-automatic-theorem-proving,https://www.ijcai.org/Proceedings/73/Papers/006.pdf,theorem-proving-and-logic-i
deletion-directed-search-in-resolution-based-proof-procedures,https://www.ijcai.org/Proceedings/73/Papers/007.pdf,theorem-proving-and-logic-i
a-definition-driven-theorem-prover,https://www.ijcai.org/Proceedings/73/Papers/008.pdf,theorem-proving-and-logic-i
a-man-machine-theorem-proving-system,https://www.ijcai.org/Proceedings/73/Papers/008a.pdf,theorem-proving-and-logic-i
analysis-of-behavior-of-chemical-molecules-rule-formation-on-non-homogeneous-classes,https://www.ijcai.org/Proceedings/73/Papers/009.pdf,applications-and-implications-of-a-i
some-necessary-conditions-for-a-master-chess-program,https://www.ijcai.org/Proceedings/73/Papers/010.pdf,applications-and-implications-of-a-i
artificial-intelligence-and-automatic-programming-in-cai,https://www.ijcai.org/Proceedings/73/Papers/011.pdf,applications-and-implications-of-a-i
search-strategies-for-the-task-of-organic-chemical-synthesis,https://www.ijcai.org/Proceedings/73/Papers/012.pdf,applications-and-implications-of-a-i
forecasting-and-assessing-the-impact-of-artificial-intelligence-on-society,https://www.ijcai.org/Proceedings/73/Papers/013.pdf,applications-and-implications-of-a-i
steps-toward-automatic-theory-formation,https://www.ijcai.org/Proceedings/73/Papers/014.pdf,theorem-proving-and-logic-ii
doing-arithmetic-with-diagrams,https://www.ijcai.org/Proceedings/73/Papers/015.pdf,theorem-proving-and-logic-ii
a-mechanization-of-type-theory,https://www.ijcai.org/Proceedings/73/Papers/016.pdf,theorem-proving-and-logic-ii
on-the-mechanization-of-abductive-logic,https://www.ijcai.org/Proceedings/73/Papers/017.pdf,theorem-proving-and-logic-ii
a-hole-in-goal-trees-some-guidance-from-resolution-theory,https://www.ijcai.org/Proceedings/73/Papers/018.pdf,theorem-proving-and-logic-ii
discovering-classification-rules-using-variable-valued-logic-system-vl,https://www.ijcai.org/Proceedings/73/Papers/019.pdf,theorem-proving-and-logic-ii
a-procedure-for-adaptive-control-of-the-interaction-between-acoustic-classification-end-linguistic-docixiing-in-automatic-recognition-of-continuous-speech,https://www.ijcai.org/Proceedings/73/Papers/020.pdf,natural-language-speech
the-hearsay-speech-understanding-system-an-example-of-the-recognition-process,https://www.ijcai.org/Proceedings/73/Papers/021.pdf,natural-language-speech
system-organizations-for-speech-understanding-implications-of-network-and-multiprocessor-computer-architecture-for-a-i,https://www.ijcai.org/Proceedings/73/Papers/023.pdf,natural-language-speech
mechanical-inference-problems-in-continuous-speech-understanding,https://www.ijcai.org/Proceedings/73/Papers/024.pdf,natural-language-speech
speech-understanding-through-syntactic-and-semantic-analysis,https://www.ijcai.org/Proceedings/73/Papers/025.pdf,natural-language-speech
a-parser-for-a-speech-understanding-system,https://www.ijcai.org/Proceedings/73/Papers/026.pdf,natural-language-speech
d-script-a-computational-theory-of-descriptions,https://www.ijcai.org/Proceedings/73/Papers/027.pdf,formalisms-for-a-i
conversion-of-predicate-calculus-axioms-viewed-as-non-deterministic-programs-to-corresponding-deterministic-programs,https://www.ijcai.org/Proceedings/73/Papers/027A.pdf,formalisms-for-a-i
a-universal-modular-actor-formalism-for-artificial-intelligence,https://www.ijcai.org/Proceedings/73/Papers/027B.pdf,formalisms-for-a-i
a-model-lor-control-structures-for-artificial-intelligence-programming-languages,https://www.ijcai.org/Proceedings/73/Papers/027C.pdf,formalisms-for-a-i
margie-memory-analysis-response-generation-and-inference-on-english,https://www.ijcai.org/Proceedings/73/Papers/028.pdf,natural-language-systems
language-processing-via-canonical-verbs-and-semantic-models,https://www.ijcai.org/Proceedings/73/Papers/029.pdf,natural-language-systems
understanding-without-proofs,https://www.ijcai.org/Proceedings/73/Papers/030.pdf,natural-language-systems
