title,main link,supplemental link
text-based-information-retrieval-using-exponentiated-gradient-descent,http://papers.nips.cc/paper/1186-text-based-information-retrieval-using-exponentiated-gradient-descent.pdf,
why-did-td-gammon-work,http://papers.nips.cc/paper/1292-why-did-td-gammon-work.pdf,
neural-models-for-part-whole-hierarchies,http://papers.nips.cc/paper/1236-neural-models-for-part-whole-hierarchies.pdf,
temporal-low-order-statistics-of-natural-sounds,http://papers.nips.cc/paper/1262-temporal-low-order-statistics-of-natural-sounds.pdf,
reconstructing-stimulus-velocity-from-neuronal-responses-in-area-mt,http://papers.nips.cc/paper/1301-reconstructing-stimulus-velocity-from-neuronal-responses-in-area-mt.pdf,
3d-object-recognition-a-model-of-view-tuned-neurons,http://papers.nips.cc/paper/1296-3d-object-recognition-a-model-of-view-tuned-neurons.pdf,
a-hierarchical-model-of-visual-rivalry,http://papers.nips.cc/paper/1277-a-hierarchical-model-of-visual-rivalry.pdf,
neural-network-models-of-chemotaxis-in-the-nematode-caenorhabditis-elegans,http://papers.nips.cc/paper/1199-neural-network-models-of-chemotaxis-in-the-nematode-caenorhabditis-elegans.pdf,
extraction-of-temporal-features-in-the-electrosensory-system-of-weakly-electric-fish,http://papers.nips.cc/paper/1222-extraction-of-temporal-features-in-the-electrosensory-system-of-weakly-electric-fish.pdf,
a-neural-model-of-visual-contour-integration,http://papers.nips.cc/paper/1244-a-neural-model-of-visual-contour-integration.pdf,
learning-exact-patterns-of-quasi-synchronization-among-spiking-neurons-from-data-on-multi-unit-recordings,http://papers.nips.cc/paper/1274-learning-exact-patterns-of-quasi-synchronization-among-spiking-neurons-from-data-on-multi-unit-recordings.pdf,
complex-cell-responses-derived-from-center-surround-inputs-the-surprising-power-of-intradendritic-computation,http://papers.nips.cc/paper/1209-complex-cell-responses-derived-from-center-surround-inputs-the-surprising-power-of-intradendritic-computation.pdf,
orientation-contrast-sensitivity-from-long-range-interactions-in-visual-cortex,http://papers.nips.cc/paper/1330-orientation-contrast-sensitivity-from-long-range-interactions-in-visual-cortex.pdf,
statistically-efficient-estimations-using-cortical-lateral-connections,http://papers.nips.cc/paper/1312-statistically-efficient-estimations-using-cortical-lateral-connections.pdf,
an-architectural-mechanism-for-direction-tuned-cortical-simple-cells-the-role-of-mutual-inhibition,http://papers.nips.cc/paper/1178-an-architectural-mechanism-for-direction-tuned-cortical-simple-cells-the-role-of-mutual-inhibition.pdf,
cholinergic-modulation-preserves-spike-timing-under-physiologically-realistic-fluctuating-input,http://papers.nips.cc/paper/1319-cholinergic-modulation-preserves-spike-timing-under-physiologically-realistic-fluctuating-input.pdf,
a-model-of-recurrent-interactions-in-primary-visual-cortex,http://papers.nips.cc/paper/1255-a-model-of-recurrent-interactions-in-primary-visual-cortex.pdf,
neural-learning-in-structured-parameter-spaces-natural-riemannian-gradient,http://papers.nips.cc/paper/1248-neural-learning-in-structured-parameter-spaces-natural-riemannian-gradient.pdf,
for-valid-generalization-the-size-of-the-weights-is-more-important-than-the-size-of-the-network,http://papers.nips.cc/paper/1204-for-valid-generalization-the-size-of-the-weights-is-more-important-than-the-size-of-the-network.pdf,
dynamics-of-training,http://papers.nips.cc/paper/1225-dynamics-of-training.pdf,
multilayer-neural-networks-one-or-two-hidden-layers,http://papers.nips.cc/paper/1239-multilayer-neural-networks-one-or-two-hidden-layers.pdf,
support-vector-regression-machines,http://papers.nips.cc/paper/1238-support-vector-regression-machines.pdf,
size-of-multilayer-networks-for-exact-learning-analytic-approach,http://papers.nips.cc/paper/1303-size-of-multilayer-networks-for-exact-learning-analytic-approach.pdf,
the-effect-of-correlated-input-data-on-the-dynamics-of-learning,http://papers.nips.cc/paper/1254-the-effect-of-correlated-input-data-on-the-dynamics-of-learning.pdf,
practical-confidence-and-prediction-intervals,http://papers.nips.cc/paper/1306-practical-confidence-and-prediction-intervals.pdf,
statistical-mechanics-of-the-mixture-of-experts,http://papers.nips.cc/paper/1176-statistical-mechanics-of-the-mixture-of-experts.pdf,
mlp-can-provably-generalize-much-better-than-vc-bounds-indicate,http://papers.nips.cc/paper/1219-mlp-can-provably-generalize-much-better-than-vc-bounds-indicate.pdf,
radial-basis-function-networks-and-complexity-regularization-in-function-learning,http://papers.nips.cc/paper/1184-radial-basis-function-networks-and-complexity-regularization-in-function-learning.pdf,
an-apobayesian-relative-of-winnow,http://papers.nips.cc/paper/1194-an-apobayesian-relative-of-winnow.pdf,
noisy-spiking-neurons-with-temporal-coding-have-more-computational-power-than-sigmoidal-neurons,http://papers.nips.cc/paper/1307-noisy-spiking-neurons-with-temporal-coding-have-more-computational-power-than-sigmoidal-neurons.pdf,
on-the-effect-of-analog-noise-in-discrete-time-analog-computations,http://papers.nips.cc/paper/1213-on-the-effect-of-analog-noise-in-discrete-time-analog-computations.pdf,
a-mean-field-algorithm-for-bayes-learning-in-large-feed-forward-neural-networks,http://papers.nips.cc/paper/1268-a-mean-field-algorithm-for-bayes-learning-in-large-feed-forward-neural-networks.pdf,
removing-noise-in-on-line-search-using-adaptive-batch-sizes,http://papers.nips.cc/paper/1257-removing-noise-in-on-line-search-using-adaptive-batch-sizes.pdf,
are-hopfield-networks-faster-than-conventional-computers,http://papers.nips.cc/paper/1259-are-hopfield-networks-faster-than-conventional-computers.pdf,
hebb-learning-of-features-based-on-their-information-content,http://papers.nips.cc/paper/1195-hebb-learning-of-features-based-on-their-information-content.pdf,
the-generalisation-cost-of-ramnets,http://papers.nips.cc/paper/1220-the-generalisation-cost-of-ramnets.pdf,
learning-with-noise-and-regularizers-in-multilayer-neural-networks,http://papers.nips.cc/paper/1243-learning-with-noise-and-regularizers-in-multilayer-neural-networks.pdf,
a-variational-principle-for-model-based-morphing,http://papers.nips.cc/paper/1283-a-variational-principle-for-model-based-morphing.pdf,
online-learning-from-finite-training-sets-an-analytical-case-study,http://papers.nips.cc/paper/1271-online-learning-from-finite-training-sets-an-analytical-case-study.pdf,
support-vector-method-for-function-approximation-regression-estimation-and-signal-processing,http://papers.nips.cc/paper/1187-support-vector-method-for-function-approximation-regression-estimation-and-signal-processing.pdf,
the-learning-dynamcis-of-a-universal-approximator,http://papers.nips.cc/paper/1256-the-learning-dynamcis-of-a-universal-approximator.pdf,
computing-with-infinite-networks,http://papers.nips.cc/paper/1197-computing-with-infinite-networks.pdf,
microscopic-equations-in-rough-energy-landscape-for-neural-networks,http://papers.nips.cc/paper/1177-microscopic-equations-in-rough-energy-landscape-for-neural-networks.pdf,
time-series-prediction-using-mixtures-of-experts,http://papers.nips.cc/paper/1203-time-series-prediction-using-mixtures-of-experts.pdf,
genetic-algorithms-and-explicit-search-statistics,http://papers.nips.cc/paper/1247-genetic-algorithms-and-explicit-search-statistics.pdf,
consistent-classification-firm-and-soft,http://papers.nips.cc/paper/1311-consistent-classification-firm-and-soft.pdf,
bayesian-model-comparison-by-monte-carlo-chaining,http://papers.nips.cc/paper/1272-bayesian-model-comparison-by-monte-carlo-chaining.pdf,
gaussian-processes-for-bayesian-classification-via-hybrid-monte-carlo,http://papers.nips.cc/paper/1232-gaussian-processes-for-bayesian-classification-via-hybrid-monte-carlo.pdf,
regression-with-input-dependent-noise-a-bayesian-treatment,http://papers.nips.cc/paper/1191-regression-with-input-dependent-noise-a-bayesian-treatment.pdf,
gtm-a-principled-alternative-to-the-self-organizing-map,http://papers.nips.cc/paper/1207-gtm-a-principled-alternative-to-the-self-organizing-map.pdf,
the-condensation-algorithm-conditional-density-propagation-and-applications-to-visual-tracking,http://papers.nips.cc/paper/1289-the-condensation-algorithm-conditional-density-propagation-and-applications-to-visual-tracking.pdf,
clustering-via-concave-minimization,http://papers.nips.cc/paper/1260-clustering-via-concave-minimization.pdf,
improving-the-accuracy-and-speed-of-support-vector-machines,http://papers.nips.cc/paper/1253-improving-the-accuracy-and-speed-of-support-vector-machines.pdf,
estimating-equivalent-kernels-for-neural-networks-a-data-perturbation-approach,http://papers.nips.cc/paper/1326-estimating-equivalent-kernels-for-neural-networks-a-data-perturbation-approach.pdf,
promoting-poor-features-to-supervisors-some-inputs-work-better-as-outputs,http://papers.nips.cc/paper/1231-promoting-poor-features-to-supervisors-some-inputs-work-better-as-outputs.pdf,
self-organizing-and-adaptive-algorithms-for-generalized-eigen-decomposition,http://papers.nips.cc/paper/1210-self-organizing-and-adaptive-algorithms-for-generalized-eigen-decomposition.pdf,
representation-and-induction-of-finite-state-machines-using-time-delay-neural-networks,http://papers.nips.cc/paper/1275-representation-and-induction-of-finite-state-machines-using-time-delay-neural-networks.pdf,
488-solutions-to-the-xor-problem,http://papers.nips.cc/paper/1298-488-solutions-to-the-xor-problem.pdf,
minimizing-statistical-bias-with-queries,http://papers.nips.cc/paper/1288-minimizing-statistical-bias-with-queries.pdf,
mimic-finding-optima-by-estimating-probability-densities,http://papers.nips.cc/paper/1328-mimic-finding-optima-by-estimating-probability-densities.pdf,
on-a-modification-to-the-mean-field-em-algorithm-in-factorial-learning,http://papers.nips.cc/paper/1218-on-a-modification-to-the-mean-field-em-algorithm-in-factorial-learning.pdf,
softening-discrete-relaxation,http://papers.nips.cc/paper/1308-softening-discrete-relaxation.pdf,
limitations-of-self-organizing-maps-for-vector-quantization-and-multidimensional-scaling,http://papers.nips.cc/paper/1295-limitations-of-self-organizing-maps-for-vector-quantization-and-multidimensional-scaling.pdf,
