title,main link,supplemental link
acoustic-imaging-computations-by-echolocating-bats-unification-of-diversely-represented-stimulus-features-into-whole-images,http://papers.nips.cc/paper/224-acoustic-imaging-computations-by-echolocating-bats-unification-of-diversely-represented-stimulus-features-into-whole-images.pdf,
the-computation-of-sound-source-elevation-in-the-barn-owl,http://papers.nips.cc/paper/255-the-computation-of-sound-source-elevation-in-the-barn-owl.pdf,
mechanisms-for-neuromodulation-of-biological-neural-networks,http://papers.nips.cc/paper/220-mechanisms-for-neuromodulation-of-biological-neural-networks.pdf,
neural-network-analysis-of-distributed-representations-of-dynamical-sensory-motor-transformations-in-the-leech,http://papers.nips.cc/paper/249-neural-network-analysis-of-distributed-representations-of-dynamical-sensory-motor-transformations-in-the-leech.pdf,
reading-a-neural-code,http://papers.nips.cc/paper/272-reading-a-neural-code.pdf,
neural-implementation-of-motivated-behavior-feeding-in-an-artificial-insect,http://papers.nips.cc/paper/254-neural-implementation-of-motivated-behavior-feeding-in-an-artificial-insect.pdf,
neural-network-simulation-of-somatosensory-representational-plasticity,http://papers.nips.cc/paper/287-neural-network-simulation-of-somatosensory-representational-plasticity.pdf,
computational-efficiency-a-common-organizing-principle-for-parallel-computer-maps-and-brain-maps,http://papers.nips.cc/paper/235-computational-efficiency-a-common-organizing-principle-for-parallel-computer-maps-and-brain-maps.pdf,
associative-memory-in-a-simple-model-of-oscillating-cortex,http://papers.nips.cc/paper/200-associative-memory-in-a-simple-model-of-oscillating-cortex.pdf,
collective-oscillations-in-the-visual-cortex,http://papers.nips.cc/paper/285-collective-oscillations-in-the-visual-cortex.pdf,
computer-simulation-of-oscillatory-behavior-in-cerebral-cortical-networks,http://papers.nips.cc/paper/246-computer-simulation-of-oscillatory-behavior-in-cerebral-cortical-networks.pdf,
development-and-regeneration-of-eye-brain-maps-a-computational-model,http://papers.nips.cc/paper/221-development-and-regeneration-of-eye-brain-maps-a-computational-model.pdf,
the-effect-of-catecholamines-on-performance-from-unit-to-system-behavior,http://papers.nips.cc/paper/210-the-effect-of-catecholamines-on-performance-from-unit-to-system-behavior.pdf,
non-boltzmann-dynamics-in-networks-of-spiking-neurons,http://papers.nips.cc/paper/276-non-boltzmann-dynamics-in-networks-of-spiking-neurons.pdf,
a-computer-modeling-approach-to-understanding-the-inferior-olive-and-its-relationships-to-the-cerebellar-cortex-in-rats,http://papers.nips.cc/paper/196-a-computer-modeling-approach-to-understanding-the-inferior-olive-and-its-relationships-to-the-cerebellar-cortex-in-rats.pdf,
can-simple-cells-learn-curves-a-hebbian-model-in-a-structured-environment,http://papers.nips.cc/paper/252-can-simple-cells-learn-curves-a-hebbian-model-in-a-structured-environment.pdf,
note-on-development-of-modularity-in-simple-cortical-models,http://papers.nips.cc/paper/279-note-on-development-of-modularity-in-simple-cortical-models.pdf,
effects-of-firing-synchrony-on-signal-propagation-in-layered-networks,http://papers.nips.cc/paper/223-effects-of-firing-synchrony-on-signal-propagation-in-layered-networks.pdf,
a-systematic-study-of-the-input-output-properties-of-a-2-compartment-model-neuron-with-active-membranes,http://papers.nips.cc/paper/219-a-systematic-study-of-the-inputoutput-properties-of-a-2-compartment-model-neuron-with-active-membranes.pdf,
analytic-solutions-to-the-formation-of-feature-analysing-cells-of-a-three-layer-feedforward-visual-information-processing-neural-net,http://papers.nips.cc/paper/288-analytic-solutions-to-the-formation-of-feature-analysing-cells-of-a-three-layer-feedforward-visual-information-processing-neural-net.pdf,
practical-characteristics-of-neural-network-and-conventional-pattern-classifiers-on-artificial-and-speech-problems,http://papers.nips.cc/paper/259-practical-characteristics-of-neural-network-and-conventional-pattern-classifiers-on-artificial-and-speech-problems.pdf,
dimensionality-reduction-and-prior-knowledge-in-e-set-recognition,http://papers.nips.cc/paper/234-dimensionality-reduction-and-prior-knowledge-in-e-set-recognition.pdf,
